province,province_cn,number
Hubei,湖北,54406
Guangdong,广东,1294
Henan,河南,1212
Zhejiang,浙江,1162
Hunan,湖南,1001
Anhui,安徽,950
Jiangxi,江西,913
Jiangsu,江苏,604
Chongqing,重庆,537
Shandong,山东,530
Sichuan,四川,470
Heilongjiang,黑龙江,425
Beijing,北京,375
Shanghai,上海,326
Hebei,河北,291
Fujian,福建,285
Guangxi,广西,235
Shaanxi,陕西,232
Yunnan,云南,168
Hainan,海南,162
Guizhou,贵州,143
Shanxi,山西,127
Tianjin,天津,120
Liaoning,辽宁,119
Gansu,甘肃,90
Jilin,吉林,88
Ningxia,宁夏,70
Xinjiang,新疆,70
Inner Mongolia,内蒙古,68
Hong Kong Sar,香港,56
Taipei and environs,台湾,18
Macao Sar,青海,18
Macao,澳门,10
Xizang,西藏,1
